id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
11,1461320720600866820,"https://twitter.com/zonabandoeng/statuses/1461320720600866820","https://twitter.com/zonabandoeng/statuses/1461320720600866820","zonabandoeng","RT @WithLove_Awa: [ help retweet, please? ]  haloo, aku ada layout kid-core/corat-coret yang kayak di bawah inii. udah ready stock juga! ad…","[ help retweet, please? ]  haloo, aku ada layout kid-core/corat-coret yang kayak di bawah inii. udah ready stock juga! ada yeri, yeji, giselle, mark, haechan, dan seulgi. price 8k/ea, bisa payment lewat QRIS. grab it fast!  p.s : ava png only.  [ #zonauang ] https://t.co/J9Y1AJzRmP","2021-11-18 08:09:44","Twitter for Android",0,4,"in","","retweet","",0,0,"WithLove_Awa",1455772571543080960,1461320296401543176,1460816703160344584,"https://pbs.twimg.com/profile_images/1460862020304076807/EpqiGQ0p_normal.jpg",26,126,102,"2021-11-16 22:47:31","🌼 #businessaccount | provide apps prem ; acc inact/kosongan ; convert ; jasa tulis & etc, 1000% trusted & legal 🦋 contact us :: 📩 threeDplace@gmail.com","","",
12,1461320708756152324,"https://twitter.com/indrzhr/statuses/1461320708756152324","https://twitter.com/indrzhr/statuses/1461320708756152324","indrzhr","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.415","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.415","2021-11-18 08:09:41","Twitter Web App",0,0,"in","","reply","GrabID",2322081114,1459823424050712582,"",0,0,468350183,"https://pbs.twimg.com/profile_images/1461194113345220615/Se5jk7y4_normal.jpg",44534,558,1734,"2012-01-19 07:58:09","wish me luck😇🙏","","",
13,1461320696433299463,"https://twitter.com/nnoribrah/statuses/1461320696433299463","https://twitter.com/nnoribrah/statuses/1461320696433299463","nnoribrah","RT @sszahrr: 2. Eleano Kimono   Eleano Kimono ni masa first released MEMANG TAK CUKUP. So bila dah restock balik ni ramai grab sebab 1st re…","2. Eleano Kimono   Eleano Kimono ni masa first released MEMANG TAK CUKUP. So bila dah restock balik ni ramai grab sebab 1st released tu ramai siap booked dulu sebab tu dalam sehari dua dah sold out🤣btw Eleano Kimono ni ada 3 colour. Size from S to XXL  P/s: more to standard size https://t.co/fyHCFX3uGp","2021-11-18 08:09:38","Twitter for Android",0,46,"in","","retweet","",0,0,"sszahrr",1343222628996149253,1456578958347030534,1211507741811855360,"https://pbs.twimg.com/profile_images/1459005580056547332/8W0xNDeX_normal.jpg",11665,481,1183,"2019-12-29 23:42:28","SUPERVISOR SHAKLEE | choose shaklee & never regrets!✨ | jom glow up dengan set cantik ESP + VITAMIN C","Malacca","",
14,1461320691412717575,"https://twitter.com/sxorbet/statuses/1461320691412717575","https://twitter.com/sxorbet/statuses/1461320691412717575","sxorbet","RT @WithLove_Awa: [ help retweet, please? ]  haloo, aku ada layout kid-core/corat-coret yang kayak di bawah inii. udah ready stock juga! ad…","[ help retweet, please? ]  haloo, aku ada layout kid-core/corat-coret yang kayak di bawah inii. udah ready stock juga! ada yeri, yeji, giselle, mark, haechan, dan seulgi. price 8k/ea, bisa payment lewat QRIS. grab it fast!  p.s : ava png only.  [ #zonauang ] https://t.co/J9Y1AJzRmP","2021-11-18 08:09:37","Twitter for Android",0,4,"in","","retweet","",0,0,"WithLove_Awa",1455772571543080960,1461320296401543176,1459732115034042375,"https://pbs.twimg.com/profile_images/1460556079603982339/6BW2wboq_normal.jpg",135,156,133,"2021-11-13 22:58:52","一 welcome to the 𝐛𝐮𝐬𝐢𝐧𝐢𝐜𝐞 garden ˓ ⊹ \'m selling highly recommended acc with a 𝐰𝐨𝐫𝐭𝐡𝐲 price, sprinkled with fai-ry dust!","","",
15,1461320653466849285,"https://twitter.com/sagitariws/statuses/1461320653466849285","https://twitter.com/sagitariws/statuses/1461320653466849285","sagitariws","RT @WithLove_Awa: [ help retweet, please? ]  haloo, aku ada layout kid-core/corat-coret yang kayak di bawah inii. udah ready stock juga! ad…","[ help retweet, please? ]  haloo, aku ada layout kid-core/corat-coret yang kayak di bawah inii. udah ready stock juga! ada yeri, yeji, giselle, mark, haechan, dan seulgi. price 8k/ea, bisa payment lewat QRIS. grab it fast!  p.s : ava png only.  [ #zonauang ] https://t.co/J9Y1AJzRmP","2021-11-18 08:09:28","Twitter Web App",0,4,"in","","retweet","",0,0,"WithLove_Awa",1455772571543080960,1461320296401543176,222054238,"https://pbs.twimg.com/profile_images/1460863251109998593/f1FA8944_normal.png",38413,1051,1060,"2010-12-02 05:08:51","ba profneeds tapi baru males promosi","","",
16,1461320631803285506,"https://twitter.com/indrzhr/statuses/1461320631803285506","https://twitter.com/indrzhr/statuses/1461320631803285506","indrzhr","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.414","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.414","2021-11-18 08:09:23","Twitter Web App",0,0,"in","","reply","GrabID",2322081114,1459823424050712582,"",0,0,468350183,"https://pbs.twimg.com/profile_images/1461194113345220615/Se5jk7y4_normal.jpg",44534,558,1734,"2012-01-19 07:58:09","wish me luck😇🙏","","",
17,1461320628263260162,"https://twitter.com/Syuyuii/statuses/1461320628263260162","https://twitter.com/Syuyuii/statuses/1461320628263260162","Syuyuii","RT @sszahrr: 2. Eleano Kimono   Eleano Kimono ni masa first released MEMANG TAK CUKUP. So bila dah restock balik ni ramai grab sebab 1st re…","2. Eleano Kimono   Eleano Kimono ni masa first released MEMANG TAK CUKUP. So bila dah restock balik ni ramai grab sebab 1st released tu ramai siap booked dulu sebab tu dalam sehari dua dah sold out🤣btw Eleano Kimono ni ada 3 colour. Size from S to XXL  P/s: more to standard size https://t.co/fyHCFX3uGp","2021-11-18 08:09:22","Twitter for Android",0,46,"in","","retweet","",0,0,"sszahrr",1343222628996149253,1456578958347030534,3148654513,"https://pbs.twimg.com/profile_images/1378553597013630978/iJ2yP-A0_normal.jpg",13208,597,512,"2015-04-10 17:57:18","Seller pelbagai pakaian wanita (blouse/jubah/abaya)🤗","Malaysia","",
18,1461320618612117504,"https://twitter.com/pinmaxxxtuyu/statuses/1461320618612117504","https://twitter.com/pinmaxxxtuyu/statuses/1461320618612117504","pinmaxxxtuyu","RT @coipakcoy: ✨Hi there!✨  Coipakcoy open order nih!!   ✅ 100% no kimia ✅ murah ✅ berkualitas  ✅ hasil budidaya sendiri  Jangan sampai keh…","✨Hi there!✨  Coipakcoy open order nih!!   ✅ 100% no kimia ✅ murah ✅ berkualitas  ✅ hasil budidaya sendiri  Jangan sampai kehabisan!!  Grab it fast😍  📍Pemalang, Jawa Tengah ✉️ dm for more info https://t.co/FlIV7VMIeV","2021-11-18 08:09:20","Twitter Web App",0,1,"in","","retweet","",0,0,"coipakcoy",1396729862874800130,1461312160324194307,1449545414324068353,"https://pbs.twimg.com/profile_images/1449549537907859456/q-4P_g2Z_normal.jpg",4,3,1,"2021-10-16 21:19:12","pretty Girl","world","",
19,1461320558377721862,"https://twitter.com/indrzhr/statuses/1461320558377721862","https://twitter.com/indrzhr/statuses/1461320558377721862","indrzhr","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.413","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.413","2021-11-18 08:09:05","Twitter Web App",0,0,"in","","reply","GrabID",2322081114,1459823424050712582,"",0,0,468350183,"https://pbs.twimg.com/profile_images/1461194113345220615/Se5jk7y4_normal.jpg",44534,558,1734,"2012-01-19 07:58:09","wish me luck😇🙏","","",
20,1461320549288660993,"https://twitter.com/RatuBurung/statuses/1461320549288660993","https://twitter.com/RatuBurung/statuses/1461320549288660993","RatuBurung","RT @M_Hafizzuddin_: ""Weh kau kerja engineer Gaji RM2.7k je, aku kerja grab pun boleh dpt RM4k""  Apa perasaan kita bila dpt tembakan dush du…","""Weh kau kerja engineer Gaji RM2.7k je, aku kerja grab pun boleh dpt RM4k""  Apa perasaan kita bila dpt tembakan dush dush dush macam ni?  Senyum je, jangan cari pasal. Kalau boleh, hormati kawan2 kita dengan apa2 kerja pun. Janji Halal  Pendapat 5sen 👇🏻👇🏻 https://t.co/52F7QOIEfc","2021-11-18 08:09:03","Twitter for iPhone",0,3,"in","","retweet","",0,0,"M_Hafizzuddin_",946665660,1461320280886808579,1404383324034928644,"https://pbs.twimg.com/profile_images/1404383487159717895/L6Qh9n2v_normal.jpg",948,192,143,"2021-06-14 06:21:13","Tweet tentang kehidupan, Follow me, I will follow you back, Nantikan tweet terbaik. semoga ramai yg Rt & Like.","Malaysia","",
21,1461320477482254338,"https://twitter.com/indrzhr/statuses/1461320477482254338","https://twitter.com/indrzhr/statuses/1461320477482254338","indrzhr","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.412","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.412","2021-11-18 08:08:46","Twitter Web App",0,0,"in","","reply","GrabID",2322081114,1459823424050712582,"",0,0,468350183,"https://pbs.twimg.com/profile_images/1461194113345220615/Se5jk7y4_normal.jpg",44534,558,1734,"2012-01-19 07:58:09","wish me luck😇🙏","","",
22,1461320448147275781,"https://twitter.com/unlockmeeee/statuses/1461320448147275781","https://twitter.com/unlockmeeee/statuses/1461320448147275781","unlockmeeee","RT @WithLove_Awa: [ help retweet, please? ]  haloo, aku ada layout kid-core/corat-coret yang kayak di bawah inii. udah ready stock juga! ad…","[ help retweet, please? ]  haloo, aku ada layout kid-core/corat-coret yang kayak di bawah inii. udah ready stock juga! ada yeri, yeji, giselle, mark, haechan, dan seulgi. price 8k/ea, bisa payment lewat QRIS. grab it fast!  p.s : ava png only.  [ #zonauang ] https://t.co/J9Y1AJzRmP","2021-11-18 08:08:39","Twitter Web App",0,4,"in","","retweet","",0,0,"WithLove_Awa",1455772571543080960,1461320296401543176,1425653748186050560,"https://pbs.twimg.com/profile_images/1447158515101958144/TCiV3Ifc_normal.jpg",3715,281,253,"2021-08-11 23:02:05","🍀 SERBA 3K/LINK!  ✨ chegg, coursehero, scribd, academia, studocu, bartleby, slideshare, slideplayer, transtutor*, solutioninn*  💸 payment all e-wallet diakhir","status: OPEN","",
23,1461320407630303234,"https://twitter.com/indrzhr/statuses/1461320407630303234","https://twitter.com/indrzhr/statuses/1461320407630303234","indrzhr","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.411","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.411","2021-11-18 08:08:29","Twitter Web App",0,0,"in","","reply","GrabID",2322081114,1459823424050712582,"",0,0,468350183,"https://pbs.twimg.com/profile_images/1461194113345220615/Se5jk7y4_normal.jpg",44534,558,1734,"2012-01-19 07:58:09","wish me luck😇🙏","","",
24,1461320353305661445,"https://twitter.com/FyraAfira/statuses/1461320353305661445","https://twitter.com/FyraAfira/statuses/1461320353305661445","FyraAfira","RT @munchieluna: Korang taktahu nak beli makanan apa untuk kudap kudap? Why not korang grab ✨Popcorn caramel homemade✨ ni  Dahh lah murah s…","Korang taktahu nak beli makanan apa untuk kudap kudap? Why not korang grab ✨Popcorn caramel homemade✨ ni  Dahh lah murah small pack Rm20 je😍😍 tapi percaya lah yang small pack tu confirm tak cukup🤣 https://t.co/uItSXa1ITy","2021-11-18 08:08:16","Twitter for iPad",0,35,"in","","retweet","",0,0,"munchieluna",1231568537946210304,1461300376771072002,938976134,"https://pbs.twimg.com/profile_images/1314829181776084994/gg_sMQwS_normal.jpg",63054,508,1547,"2012-11-10 07:42:55","Aim for success 🌸 #teamheeladina 🌸 Hit my dm to order ✨✨let’s #savepalestine","Allah\'s Earth","",
25,1461320339535790082,"https://twitter.com/indrzhr/statuses/1461320339535790082","https://twitter.com/indrzhr/statuses/1461320339535790082","indrzhr","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.410","@GrabID Yuk, merapat di Grab 11.11 Serba 1RB Sale tanggal 11-17 November. Nikmati diskon beragam layanan Grab &amp; dapatkan gadget idamanmu hanya dengan 1RB OVO Points.  #SERBA1RBSALE 3.410","2021-11-18 08:08:13","Twitter Web App",0,0,"in","","reply","GrabID",2322081114,1459823424050712582,"",0,0,468350183,"https://pbs.twimg.com/profile_images/1461194113345220615/Se5jk7y4_normal.jpg",44534,558,1734,"2012-01-19 07:58:09","wish me luck😇🙏","","",
26,1461320331230998532,"https://twitter.com/cuciphoto/statuses/1461320331230998532","https://twitter.com/cuciphoto/statuses/1461320331230998532","cuciphoto","RT @nisyaly: Iris Shawl code: English 🤍  Hot colours nii! Selalu tak sempat nak promote colour ni dah sold out dulu dah 😆 So korang kena gr…","Iris Shawl code: English 🤍  Hot colours nii! Selalu tak sempat nak promote colour ni dah sold out dulu dah 😆 So korang kena grab cepat cepat tau kalau nakk hehe  (RM17 only) 🛒 https://t.co/TSrodF94jR https://t.co/N6Vp2XKZT0","2021-11-18 08:08:11","Twitter for Android",0,96,"in","","retweet","",0,0,"nisyaly",1251086990516187137,1457526921659498501,1404827371413250060,"https://pbs.twimg.com/profile_images/1428581689266085888/AmzYKCDa_normal.jpg",25226,289,344,"2021-06-15 11:45:42","MENJUAL GIFTBOX&POLAROID/GIFTBOX LELAKI DAN PEREMPUAN/ CUCI POLAROID } GAMBAR 4R } GIFTBOX POLAROID","","",
27,1461320296401543176,"https://twitter.com/WithLove_Awa/statuses/1461320296401543176","https://twitter.com/WithLove_Awa/statuses/1461320296401543176","WithLove_Awa","[ help retweet, please? ]  haloo, aku ada layout kid-core/corat-coret yang kayak di bawah inii. udah ready stock juga! ada yeri, yeji, giselle, mark, haechan, dan seulgi. price 8k/ea, bisa payment lewat QRIS. grab it fast!  p.s : ava png only.  [ #zonauang ] https://t.co/J9Y1AJzRmP","[ help retweet, please? ]  haloo, aku ada layout kid-core/corat-coret yang kayak di bawah inii. udah ready stock juga! ada yeri, yeji, giselle, mark, haechan, dan seulgi. price 8k/ea, bisa payment lewat QRIS. grab it fast!  p.s : ava png only.  [ #zonauang ] https://t.co/J9Y1AJzRmP","2021-11-18 08:08:03","Twitter for Android",0,4,"in","","original","",0,0,"",0,0,1455772571543080960,"https://pbs.twimg.com/profile_images/1455776906020720641/JT5afN_T_normal.png",564,153,143,"2021-11-03 01:43:28","🛒 ___★ #zona_awa :  watch out ⚠️ you will be bombarded by a full_of_suprises bomb everytime you step into this zone 💣❕","status : 💤","",
28,1461320294073659397,"https://twitter.com/FyraAfira/statuses/1461320294073659397","https://twitter.com/FyraAfira/statuses/1461320294073659397","FyraAfira","RT @arelyevea: Lepastu customer ni minta tyra tulis jeeee apa apa ayat utk cheer her mood 🥺🥺 Semoga customer tyra ni dimewahkan rezeki &amp; ha…","Lepastu customer ni minta tyra tulis jeeee apa apa ayat utk cheer her mood 🥺🥺 Semoga customer tyra ni dimewahkan rezeki &amp; happy selalu. Aamiin✨  Btw, she\'s grab Initial Ring tau! RM30 ONLY, can make urself or ur loved ones happy ❤❤🥰 https://t.co/bQ4SgGW8Ry","2021-11-18 08:08:02","Twitter for iPad",0,123,"in","","retweet","",0,0,"arelyevea",1557467034,1425275996324827138,938976134,"https://pbs.twimg.com/profile_images/1314829181776084994/gg_sMQwS_normal.jpg",63054,508,1547,"2012-11-10 07:42:55","Aim for success 🌸 #teamheeladina 🌸 Hit my dm to order ✨✨let’s #savepalestine","Allah\'s Earth","",
29,1461320280886808579,"https://twitter.com/M_Hafizzuddin_/statuses/1461320280886808579","https://twitter.com/M_Hafizzuddin_/statuses/1461320280886808579","M_Hafizzuddin_","""Weh kau kerja engineer Gaji RM2.7k je, aku kerja grab pun boleh dpt RM4k""  Apa perasaan kita bila dpt tembakan dush dush dush macam ni?  Senyum je, jangan cari pasal. Kalau boleh, hormati kawan2 kita dengan apa2 kerja pun. Janji Halal  Pendapat 5sen 👇🏻👇🏻 https://t.co/52F7QOIEfc","""Weh kau kerja engineer Gaji RM2.7k je, aku kerja grab pun boleh dpt RM4k""  Apa perasaan kita bila dpt tembakan dush dush dush macam ni?  Senyum je, jangan cari pasal. Kalau boleh, hormati kawan2 kita dengan apa2 kerja pun. Janji Halal  Pendapat 5sen 👇🏻👇🏻 https://t.co/52F7QOIEfc","2021-11-18 08:07:59","Twitter for iPhone",4,3,"in","","original","",0,0,"",0,0,946665660,"https://pbs.twimg.com/profile_images/1434180463032094722/J2hy7gIc_normal.jpg",16543,412,1229,"2012-11-13 17:58:54","Mutiara Kata | Dealer Public Gold | Travel, Sebarkan ilmu berkaitan pengurusan kewangan melalui emas. Boleh dapatkan Ebook Emas Percuma di link dibawah 👇🏻","Hulu Paka, Terengganu","",
